hand,p2_equity,p2_win,p2_tie,p2_loss,p3_equity,p3_win,p3_tie,p3_loss,p4_equity,p4_win,p4_tie,p4_loss,p5_equity,p5_win,p5_tie,p5_loss,p6_equity,p6_win,p6_tie,p6_loss
Q8o,0.541425,0.52555,0.03175,0.4427,0.34854999999999925,0.3334,0.033,0.6336,0.26295833333333324,0.24725,0.0341,0.71865,0.20811499999999988,0.1943,0.03025,0.77545,0.17025833333333334,0.1574,0.02845,0.81415
33,0.5404,0.53125,0.0183,0.45045,0.3366749999999995,0.3325,0.0113,0.6562,0.23937499999999995,0.23665,0.008,0.75535,0.18874833333333302,0.1864,0.00725,0.80635,0.15825833333333328,0.1564,0.0054,0.8382
J8s,0.5398,0.5236,0.0324,0.444,0.3719333333333323,0.35725,0.0322,0.61055,0.2904333333333333,0.2771,0.02935,0.69355,0.24298499999999962,0.2303,0.02865,0.74105,0.2079875,0.19555,0.02755,0.7769
Q6s,0.539775,0.52035,0.03885,0.4408,0.35198333333333276,0.33405,0.03835,0.6276,0.2687666666666667,0.25245,0.03545,0.7121,0.22190166666666641,0.2067,0.0337,0.7596,0.1876625000000001,0.17365,0.0309,0.79545
K5o,0.5371,0.51675,0.0407,0.44255,0.3373833333333328,0.31675,0.0437,0.63955,0.24337916666666665,0.22625,0.0368,0.73695,0.18638999999999986,0.17025,0.0354,0.79435,0.15504166666666674,0.1391,0.0351,0.8258
K2s,0.53205,0.51285,0.0384,0.44875,0.3482499999999994,0.331,0.03665,0.63235,0.2593708333333332,0.24355,0.0342,0.72225,0.2136533333333331,0.2002,0.0299,0.7699,0.18279166666666669,0.16915,0.0302,0.80065
J9o,0.53025,0.5149,0.0307,0.4544,0.3587083333333324,0.34425,0.0319,0.62385,0.28411249999999993,0.27055,0.03015,0.6993,0.22494833333333303,0.21235,0.0283,0.75935,0.18907916666666671,0.17725,0.02615,0.7966
T8s,0.5299,0.51175,0.0363,0.45195,0.37002499999999905,0.3558,0.0314,0.6128,0.2905958333333333,0.2768,0.0307,0.6925,0.24449166666666627,0.2316,0.02925,0.73915,0.2065,0.1935,0.02865,0.77785
Q5s,0.528975,0.5089,0.04015,0.45095,0.3473999999999994,0.3289,0.0396,0.6315,0.2617541666666666,0.2464,0.0335,0.7201,0.2166491666666664,0.20165,0.0335,0.76485,0.18142500000000006,0.1675,0.0309,0.8016
K4o,0.525025,0.50365,0.04275,0.4536,0.32419999999999943,0.30395,0.0429,0.65315,0.2323875,0.21505,0.0373,0.74765,0.18111249999999984,0.16495,0.03555,0.7995,0.14764583333333345,0.13175,0.0348,0.83345
J7s,0.522575,0.50475,0.03565,0.4596,0.3531166666666657,0.33685,0.03515,0.628,0.27041666666666664,0.25655,0.0305,0.71295,0.22559583333333302,0.21315,0.02805,0.7588,0.19152916666666672,0.17825,0.02935,0.7924
Q7o,0.5212,0.50415,0.0341,0.46175,0.3289416666666661,0.31235,0.03575,0.6519,0.2435958333333333,0.22765,0.03455,0.7378,0.18697999999999992,0.17315,0.03035,0.7965,0.151825,0.1386,0.0292,0.8322
Q4s,0.520775,0.50015,0.04125,0.4586,0.3404916666666661,0.32195,0.0396,0.63845,0.25528333333333336,0.2402,0.0328,0.727,0.21064916666666644,0.19605,0.03245,0.7715,0.17766250000000006,0.1644,0.0294,0.8062
Q6o,0.517925,0.4981,0.03965,0.46225,0.3184666666666662,0.29965,0.04045,0.6599,0.23125833333333348,0.2134,0.0384,0.7482,0.17924666666666655,0.16475,0.0317,0.80355,0.1448708333333333,0.13115,0.0302,0.83865
J8o,0.515525,0.4982,0.03465,0.46715,0.3354833333333325,0.31995,0.0341,0.64595,0.2565458333333333,0.24205,0.03195,0.726,0.20707416666666653,0.19345,0.0301,0.77645,0.16829583333333337,0.15575,0.0277,0.81655
T9o,0.514675,0.4977,0.03395,0.46835,0.35162499999999913,0.3379,0.03055,0.63155,0.2807291666666667,0.26765,0.02905,0.7033,0.22444999999999968,0.21125,0.0294,0.75935,0.19014583333333338,0.17645,0.0297,0.79385
K3o,0.514525,0.4939,0.04125,0.46485,0.3195166666666661,0.29955,0.04235,0.6581,0.226775,0.20995,0.0364,0.75365,0.17090833333333322,0.1557,0.0336,0.8107,0.14237916666666675,0.12745,0.03295,0.8396
Q3s,0.51325,0.493,0.0405,0.4665,0.33174166666666616,0.3141,0.0378,0.6481,0.2474541666666667,0.2326,0.03245,0.73495,0.2066974999999998,0.19215,0.03235,0.7755,0.17267916666666666,0.1596,0.029,0.8114
98s,0.51275,0.4943,0.0369,0.4688,0.3633666666666657,0.3489,0.0321,0.619,0.2836624999999999,0.2711,0.0283,0.7006,0.2412349999999996,0.22965,0.02635,0.744,0.20550416666666657,0.1926,0.0288,0.7786
J6s,0.5086,0.49005,0.0371,0.47285,0.328816666666666,0.3121,0.03625,0.65165,0.2508541666666667,0.23515,0.03405,0.7308,0.20638083333333315,0.19275,0.03035,0.7769,0.17362499999999995,0.16025,0.02955,0.8102
T7s,0.50855,0.4879,0.0413,0.4708,0.34972499999999906,0.335,0.0323,0.6327,0.26946666666666674,0.25515,0.0317,0.71315,0.22562999999999975,0.21265,0.02935,0.758,0.18888333333333332,0.1749,0.03085,0.79425
Q5o,0.5051,0.48485,0.0405,0.47465,0.3105166666666663,0.2912,0.0416,0.6672,0.2227333333333334,0.20555,0.0372,0.75725,0.16948166666666659,0.15455,0.03285,0.8126,0.14036666666666667,0.1255,0.03305,0.84145
K2o,0.50405,0.48275,0.0426,0.47465,0.3055083333333328,0.28595,0.04155,0.6725,0.22017083333333334,0.2034,0.03635,0.76025,0.16713083333333323,0.1526,0.0325,0.8149,0.13970833333333338,0.12535,0.0316,0.84305
22,0.503625,0.4936,0.02005,0.48635,0.30914166666666604,0.30505,0.0116,0.68335,0.2213791666666667,0.21905,0.0075,0.77345,0.1698666666666664,0.168,0.0066,0.8254,0.1543916666666666,0.15305,0.00465,0.8423
Q2s,0.502725,0.482,0.04145,0.47655,0.3226666666666661,0.3053,0.0374,0.6573,0.2409125,0.2262,0.03225,0.74155,0.1986066666666665,0.1857,0.02915,0.78515,0.16880416666666667,0.15685,0.02665,0.8165
J5s,0.5001,0.48005,0.0401,0.47985,0.32786666666666586,0.30955,0.03965,0.6508,0.24643750000000006,0.2315,0.0327,0.7358,0.20302916666666657,0.18875,0.03185,0.7794,0.16714999999999997,0.15395,0.0295,0.81655
J7o,0.499425,0.48065,0.03755,0.4818,0.31993333333333274,0.30335,0.0362,0.66045,0.23645,0.2211,0.03355,0.74535,0.1839416666666666,0.16995,0.031,0.79905,0.14794583333333336,0.13545,0.0277,0.83685
T8o,0.4986,0.4794,0.0384,0.4822,0.3293916666666657,0.3139,0.03435,0.65175,0.25591249999999993,0.24205,0.0307,0.72725,0.2055199999999999,0.1914,0.03105,0.77755,0.17074583333333337,0.15705,0.0297,0.81325
Q4o,0.4961,0.4758,0.0406,0.4836,0.29801666666666626,0.2787,0.04155,0.67975,0.2174083333333334,0.20045,0.03665,0.7629,0.1658991666666665,0.15085,0.03325,0.8159,0.13484583333333336,0.12115,0.03025,0.8486
T6s,0.4955,0.47415,0.0427,0.48315,0.3264833333333326,0.3112,0.03355,0.65525,0.24824166666666675,0.2332,0.03305,0.73375,0.20774833333333312,0.19345,0.03185,0.7747,0.17325,0.15925,0.03085,0.8099
97s,0.4925,0.4719,0.0412,0.4869,0.3466166666666657,0.33095,0.03455,0.6345,0.2710833333333333,0.25865,0.02795,0.7134,0.22414166666666638,0.2124,0.0267,0.7609,0.19014166666666663,0.17735,0.0286,0.79405
J4s,0.49095,0.46995,0.042,0.48805,0.3197083333333326,0.3017,0.0389,0.6594,0.23843750000000005,0.22375,0.03205,0.7442,0.19528249999999986,0.1815,0.03065,0.78785,0.16264166666666668,0.1501,0.02805,0.82185
J3s,0.484425,0.4641,0.04065,0.49525,0.31069999999999925,0.29325,0.03775,0.669,0.2329583333333334,0.21835,0.0319,0.74975,0.19313249999999985,0.17975,0.02985,0.7904,0.1590916666666667,0.1461,0.0289,0.825
Q3o,0.48425,0.4633,0.0419,0.4948,0.2904916666666663,0.2725,0.03885,0.68865,0.20707916666666673,0.1911,0.03485,0.77405,0.1555383333333332,0.14135,0.0314,0.82725,0.13032083333333327,0.1174,0.02905,0.85355
J6o,0.4825,0.4619,0.0412,0.4969,0.29242499999999966,0.2744,0.0394,0.6862,0.21458750000000004,0.19835,0.03535,0.7663,0.16291166666666662,0.149,0.031,0.82,0.13263333333333335,0.1205,0.0268,0.8527
T7o,0.4824,0.46055,0.0437,0.49575,0.31439999999999924,0.29715,0.0377,0.66515,0.2348916666666667,0.22095,0.0309,0.74815,0.18330166666666659,0.1693,0.0308,0.7999,0.14933333333333337,0.1361,0.029,0.8349
98o,0.481725,0.4618,0.03985,0.49835,0.32749166666666574,0.3123,0.034,0.6537,0.25413749999999996,0.24025,0.0305,0.72925,0.19891666666666646,0.1868,0.02665,0.78655,0.16891249999999997,0.1561,0.02815,0.81575
87s,0.481525,0.4597,0.04365,0.49665,0.34278333333333233,0.3275,0.03395,0.63855,0.27007499999999995,0.2568,0.0299,0.7133,0.2282066666666664,0.2162,0.02725,0.75655,0.19192083333333326,0.1799,0.0272,0.7929
96s,0.478775,0.4559,0.04575,0.49835,0.3244749999999993,0.3079,0.03645,0.65565,0.2483125,0.2348,0.03005,0.73515,0.20922166666666636,0.196,0.0295,0.7745,0.17317499999999997,0.16075,0.02785,0.8114
Q2o,0.47615,0.45425,0.0438,0.50195,0.27979999999999955,0.2613,0.03985,0.69885,0.20395000000000016,0.18805,0.03475,0.7772,0.15278416666666653,0.13965,0.0295,0.83085,0.12674999999999992,0.11455,0.0273,0.85815
J5o,0.475525,0.45395,0.04315,0.5029,0.2850249999999997,0.2666,0.04025,0.69315,0.2073083333333334,0.1911,0.03555,0.77335,0.15787416666666662,0.14355,0.0318,0.82465,0.12886250000000002,0.11555,0.02965,0.8548
J2s,0.473925,0.4534,0.04105,0.50555,0.30454999999999927,0.2879,0.03625,0.67585,0.22672083333333343,0.2127,0.0308,0.7565,0.18492416666666653,0.17245,0.0282,0.79935,0.15529999999999997,0.14395,0.0255,0.83055
T5s,0.4712,0.4476,0.0472,0.5052,0.3104999999999994,0.2948,0.03455,0.67065,0.23351250000000004,0.21855,0.03305,0.7484,0.1910549999999998,0.17725,0.0311,0.79165,0.1578208333333334,0.1443,0.03025,0.82545
T4s,0.46945,0.446,0.0469,0.5071,0.30939166666666607,0.29305,0.03595,0.671,0.22525416666666678,0.21015,0.03315,0.7567,0.1854516666666664,0.1718,0.0306,0.7976,0.15636250000000007,0.14285,0.03005,0.8271
T6o,0.467275,0.44445,0.04565,0.5099,0.2886249999999996,0.2706,0.03945,0.68995,0.2115166666666668,0.19655,0.0328,0.77065,0.16220083333333324,0.1479,0.03145,0.82065,0.13757916666666667,0.1241,0.02925,0.84665
86s,0.4669,0.4431,0.0476,0.5093,0.31969999999999926,0.30365,0.03565,0.6607,0.2546,0.2413,0.03,0.7287,0.21173666666666635,0.1988,0.02895,0.77225,0.17669999999999994,0.16465,0.02715,0.8082
97o,0.4664,0.44465,0.0435,0.51185,0.30759999999999943,0.2913,0.036,0.6727,0.2375083333333333,0.22415,0.0296,0.74625,0.18459833333333325,0.17165,0.0284,0.79995,0.15143333333333334,0.1398,0.02585,0.83435
J4o,0.464475,0.4424,0.04415,0.51345,0.2754833333333331,0.25735,0.03965,0.703,0.20172916666666676,0.18625,0.0342,0.77955,0.15228749999999988,0.1376,0.03275,0.82965,0.12290833333333334,0.1103,0.0279,0.8618
95s,0.460775,0.43735,0.04685,0.5158,0.3024333333333326,0.2852,0.03825,0.67655,0.23267916666666666,0.2198,0.02905,0.75115,0.19083249999999977,0.178,0.029,0.793,0.15607916666666669,0.144,0.0274,0.8286
T3s,0.458775,0.4352,0.04715,0.51765,0.29827499999999935,0.2823,0.0352,0.6825,0.22027916666666678,0.20575,0.03205,0.7622,0.18309166666666635,0.16975,0.03005,0.8002,0.15009583333333343,0.13645,0.03025,0.8333
76s,0.45725,0.43185,0.0508,0.51735,0.3191833333333323,0.3028,0.03665,0.66055,0.2534666666666667,0.24015,0.0298,0.73005,0.21409166666666643,0.2022,0.0268,0.771,0.1809458333333333,0.16895,0.02705,0.804
J3o,0.453575,0.4311,0.04495,0.52395,0.2673166666666664,0.25025,0.0375,0.71225,0.19524166666666676,0.17995,0.03395,0.7861,0.1475316666666666,0.1343,0.0298,0.8359,0.11980833333333335,0.10815,0.02615,0.8657
87o,0.4531,0.42995,0.0463,0.52375,0.30633333333333274,0.29075,0.0349,0.67435,0.23369166666666666,0.22005,0.03035,0.7496,0.18653999999999993,0.1735,0.029,0.7975,0.15410416666666663,0.14195,0.0269,0.83115
85s,0.4494,0.4248,0.0492,0.526,0.30519166666666603,0.28945,0.0354,0.67515,0.2349333333333333,0.2227,0.028,0.7493,0.19772499999999973,0.1845,0.02975,0.78575,0.16379583333333333,0.15235,0.0263,0.82135
96o,0.448925,0.4254,0.04705,0.52755,0.2817916666666663,0.2646,0.03805,0.69735,0.21045416666666675,0.19595,0.03195,0.7721,0.16671083333333322,0.15455,0.02695,0.8185,0.13664583333333338,0.12435,0.02735,0.8483
T2s,0.4468,0.4237,0.0462,0.5301,0.2913083333333328,0.27585,0.0343,0.68985,0.2137958333333335,0.19985,0.03095,0.7692,0.17488166666666646,0.1624,0.0285,0.8091,0.14917500000000003,0.13715,0.027,0.83585
J2o,0.44355,0.42095,0.0452,0.53385,0.2567749999999998,0.2399,0.03705,0.72305,0.18805000000000008,0.17325,0.03285,0.7939,0.14140916666666659,0.12825,0.02995,0.8418,0.11566250000000003,0.1044,0.0252,0.8704
T5o,0.4432,0.41915,0.0481,0.53275,0.2706916666666665,0.2523,0.04035,0.70735,0.19308750000000008,0.1777,0.034,0.7883,0.14313666666666663,0.1295,0.03025,0.84025,0.12074166666666669,0.1066,0.0311,0.8623
86o,0.44285,0.41755,0.0506,0.53185,0.2801166666666662,0.26295,0.0385,0.69855,0.21422500000000005,0.19995,0.03175,0.7683,0.1685566666666666,0.1557,0.0287,0.8156,0.13773749999999998,0.126,0.0259,0.8481
