hand,p2_equity,p2_win,p2_tie,p2_loss,p3_equity,p3_win,p3_tie,p3_loss,p4_equity,p4_win,p4_tie,p4_loss,p5_equity,p5_win,p5_tie,p5_loss,p6_equity,p6_win,p6_tie,p6_loss
43s,0.39175,0.3615,0.0605,0.578,0.2703499999999996,0.25575,0.0337,0.71055,0.2050500000000001,0.1935,0.02645,0.78005,0.17410583333333302,0.164,0.0237,0.8123,0.14580833333333337,0.1368,0.021,0.8422
74o,0.3888,0.36075,0.0561,0.58315,0.24556666666666666,0.2297,0.036,0.7343,0.1801208333333334,0.16685,0.0302,0.80295,0.13998333333333324,0.12775,0.02765,0.8446,0.11665000000000002,0.10525,0.0253,0.86945
54o,0.3864,0.35635,0.0601,0.58355,0.25104166666666666,0.2347,0.0375,0.7278,0.1888666666666667,0.1767,0.0279,0.7954,0.1476799999999999,0.13565,0.02715,0.8372,0.12110833333333335,0.1104,0.02415,0.86545
64o,0.38505,0.3558,0.0585,0.5857,0.24623333333333344,0.2293,0.0385,0.7322,0.1845625000000001,0.1719,0.0288,0.7993,0.14316749999999984,0.1317,0.0259,0.8424,0.11940416666666667,0.1086,0.0238,0.8676
72s,0.381225,0.3548,0.05285,0.59235,0.24950833333333317,0.23555,0.0323,0.73215,0.18454166666666671,0.1733,0.02565,0.80105,0.1540141666666665,0.1442,0.02295,0.83285,0.12847916666666673,0.11915,0.0217,0.85915
52s,0.38,0.35135,0.0573,0.59135,0.25825833333333315,0.2442,0.03265,0.72315,0.19567083333333338,0.18545,0.02375,0.7908,0.16426999999999972,0.15425,0.02345,0.8223,0.13907083333333334,0.1299,0.02115,0.84895
83o,0.379925,0.353,0.05385,0.59315,0.22356666666666716,0.20635,0.03885,0.7548,0.1556416666666667,0.14265,0.0298,0.82755,0.12078916666666668,0.10875,0.0275,0.86375,0.09612500000000002,0.08515,0.0247,0.89015
62s,0.3789,0.3507,0.0564,0.5929,0.24950833333333322,0.23455,0.03445,0.731,0.18849583333333345,0.177,0.0263,0.7967,0.15599916666666644,0.1464,0.0223,0.8313,0.13115416666666666,0.122,0.021,0.857
82o,0.37125,0.3444,0.0537,0.6019,0.2156000000000005,0.1995,0.03655,0.76395,0.15387083333333337,0.1415,0.02845,0.83005,0.11410666666666673,0.102,0.02785,0.87015,0.09395416666666669,0.08295,0.0246,0.89245
42s,0.370725,0.341,0.05945,0.59955,0.24969166666666656,0.23495,0.03415,0.7309,0.18928750000000008,0.17795,0.02605,0.796,0.15687333333333311,0.14805,0.02115,0.8308,0.13409999999999997,0.126,0.0192,0.8548
73o,0.3687,0.34045,0.0565,0.60305,0.2242000000000004,0.20865,0.03535,0.756,0.16037916666666668,0.1476,0.02955,0.82285,0.1247291666666666,0.11305,0.0268,0.86015,0.1017291666666667,0.0913,0.0234,0.8853
63o,0.3649,0.3345,0.0608,0.6047,0.22433333333333386,0.2079,0.03745,0.75465,0.1650208333333334,0.15285,0.0282,0.81895,0.12849999999999992,0.11775,0.02485,0.8574,0.10701666666666669,0.09765,0.02115,0.8812
53o,0.364175,0.333,0.06235,0.60465,0.2314833333333337,0.21555,0.0366,0.74785,0.17112500000000005,0.1593,0.02735,0.81335,0.14029499999999992,0.12895,0.02605,0.845,0.11327500000000007,0.10305,0.0233,0.87365
32s,0.361,0.33105,0.0599,0.60905,0.24320000000000006,0.2295,0.0319,0.7386,0.1846333333333334,0.17405,0.02495,0.801,0.1538091666666665,0.14555,0.02015,0.8343,0.13074583333333334,0.12295,0.0185,0.85855
43o,0.353525,0.32155,0.06395,0.6145,0.2286500000000004,0.2133,0.0355,0.7512,0.16127500000000006,0.14995,0.0262,0.82385,0.12723416666666656,0.11715,0.02355,0.8593,0.10776666666666669,0.09955,0.0189,0.88155
72o,0.34765,0.31885,0.0576,0.62355,0.20015000000000077,0.18585,0.03285,0.7813,0.14462083333333337,0.1324,0.0283,0.8393,0.10999250000000006,0.099,0.02565,0.87535,0.0915041666666667,0.0809,0.02385,0.89525
62o,0.34515,0.31475,0.0608,0.62445,0.20206666666666745,0.1866,0.0355,0.7779,0.15045833333333336,0.13855,0.0276,0.83385,0.11040500000000002,0.10015,0.02395,0.8759,0.09333333333333337,0.0835,0.0221,0.8944
52o,0.344875,0.3139,0.06195,0.62415,0.21046666666666738,0.1956,0.03445,0.76995,0.15684166666666668,0.1451,0.02725,0.82765,0.12128583333333329,0.11015,0.02575,0.8641,0.10377083333333337,0.094,0.02225,0.88375
42o,0.33135,0.2997,0.0633,0.637,0.20560000000000078,0.1909,0.0342,0.7749,0.14697083333333336,0.13585,0.02575,0.8384,0.11380916666666671,0.1038,0.0233,0.8729,0.09435000000000002,0.0862,0.01865,0.89515
32o,0.32145,0.2898,0.0633,0.6469,0.19565000000000077,0.18205,0.03205,0.7859,0.1416625,0.13215,0.0224,0.84545,0.10709750000000008,0.0982,0.02105,0.88075,0.08752916666666671,0.0799,0.01745,0.90265
