h1_rank,h2_rank,f1_rank,f2_rank,f3_rank,h1_suit,h2_suit,f1_suit,f2_suit,f3_suit,rank_key,suit_key
K,4,A,A,Q,0,1,0,1,1,K4AAQ,01011
K,4,A,A,Q,0,1,0,1,2,K4AAQ,01012
K,4,A,A,Q,0,1,0,2,0,K4AAQ,01020
K,4,A,A,Q,0,1,0,2,1,K4AAQ,01021
K,4,A,A,Q,0,1,0,2,2,K4AAQ,01022
K,4,A,A,Q,0,1,0,2,3,K4AAQ,01023
K,4,A,A,Q,0,1,1,2,0,K4AAQ,01120
K,4,A,A,Q,0,1,1,2,1,K4AAQ,01121
K,4,A,A,Q,0,1,1,2,2,K4AAQ,01122
K,4,A,A,Q,0,1,1,2,3,K4AAQ,01123
K,4,A,A,Q,0,1,2,3,0,K4AAQ,01230
K,4,A,A,Q,0,1,2,3,1,K4AAQ,01231
K,4,A,A,Q,0,1,2,3,2,K4AAQ,01232
K,4,A,A,K,0,0,0,1,1,K4AAK,00011
K,4,A,A,K,0,0,0,1,2,K4AAK,00012
K,4,A,A,K,0,0,1,2,1,K4AAK,00121
K,4,A,A,K,0,0,1,2,3,K4AAK,00123
K,4,A,A,K,0,1,0,1,1,K4AAK,01011
K,4,A,A,K,0,1,0,1,2,K4AAK,01012
K,4,A,A,K,0,1,0,2,1,K4AAK,01021
K,4,A,A,K,0,1,0,2,2,K4AAK,01022
K,4,A,A,K,0,1,0,2,3,K4AAK,01023
K,4,A,A,K,0,1,1,2,1,K4AAK,01121
K,4,A,A,K,0,1,1,2,2,K4AAK,01122
K,4,A,A,K,0,1,1,2,3,K4AAK,01123
K,4,A,A,K,0,1,2,3,1,K4AAK,01231
K,4,A,A,K,0,1,2,3,2,K4AAK,01232
K,4,A,A,A,0,0,0,1,2,K4AAA,00012
K,4,A,A,A,0,0,1,2,3,K4AAA,00123
K,4,A,A,A,0,1,0,1,2,K4AAA,01012
K,4,A,A,A,0,1,0,2,3,K4AAA,01023
K,4,A,A,A,0,1,1,2,3,K4AAA,01123
K,5,2,2,2,0,0,0,1,2,K5222,00012
K,5,2,2,2,0,0,1,2,3,K5222,00123
K,5,2,2,2,0,1,0,1,2,K5222,01012
K,5,2,2,2,0,1,0,2,3,K5222,01023
K,5,2,2,2,0,1,1,2,3,K5222,01123
K,5,3,2,2,0,0,0,0,1,K5322,00001
