h1_rank,h2_rank,f1_rank,f2_rank,f3_rank,h1_suit,h2_suit,f1_suit,f2_suit,f3_suit,rank_key,suit_key
9,9,A,A,3,0,1,0,2,2,99AA3,01022
9,9,A,A,3,0,1,0,2,3,99AA3,01023
9,9,A,A,3,0,1,2,3,0,99AA3,01230
9,9,A,A,3,0,1,2,3,2,99AA3,01232
9,9,A,A,4,0,1,0,1,0,99AA4,01010
9,9,A,A,4,0,1,0,1,2,99AA4,01012
9,9,A,A,4,0,1,0,2,0,99AA4,01020
9,9,A,A,4,0,1,0,2,1,99AA4,01021
9,9,A,A,4,0,1,0,2,2,99AA4,01022
9,9,A,A,4,0,1,0,2,3,99AA4,01023
9,9,A,A,4,0,1,2,3,0,99AA4,01230
9,9,A,A,4,0,1,2,3,2,99AA4,01232
9,9,A,A,5,0,1,0,1,0,99AA5,01010
9,9,A,A,5,0,1,0,1,2,99AA5,01012
9,9,A,A,5,0,1,0,2,0,99AA5,01020
9,9,A,A,5,0,1,0,2,1,99AA5,01021
9,9,A,A,5,0,1,0,2,2,99AA5,01022
9,9,A,A,5,0,1,0,2,3,99AA5,01023
9,9,A,A,5,0,1,2,3,0,99AA5,01230
9,9,A,A,5,0,1,2,3,2,99AA5,01232
9,9,A,A,6,0,1,0,1,0,99AA6,01010
9,9,A,A,6,0,1,0,1,2,99AA6,01012
9,9,A,A,6,0,1,0,2,0,99AA6,01020
9,9,A,A,6,0,1,0,2,1,99AA6,01021
9,9,A,A,6,0,1,0,2,2,99AA6,01022
9,9,A,A,6,0,1,0,2,3,99AA6,01023
9,9,A,A,6,0,1,2,3,0,99AA6,01230
9,9,A,A,6,0,1,2,3,2,99AA6,01232
9,9,A,A,7,0,1,0,1,0,99AA7,01010
9,9,A,A,7,0,1,0,1,2,99AA7,01012
9,9,A,A,7,0,1,0,2,0,99AA7,01020
9,9,A,A,7,0,1,0,2,1,99AA7,01021
9,9,A,A,7,0,1,0,2,2,99AA7,01022
9,9,A,A,7,0,1,0,2,3,99AA7,01023
9,9,A,A,7,0,1,2,3,0,99AA7,01230
9,9,A,A,7,0,1,2,3,2,99AA7,01232
9,9,A,A,8,0,1,0,1,0,99AA8,01010
9,9,A,A,8,0,1,0,1,2,99AA8,01012
9,9,A,A,8,0,1,0,2,0,99AA8,01020
9,9,A,A,8,0,1,0,2,1,99AA8,01021
9,9,A,A,8,0,1,0,2,2,99AA8,01022
9,9,A,A,8,0,1,0,2,3,99AA8,01023
9,9,A,A,8,0,1,2,3,0,99AA8,01230
9,9,A,A,8,0,1,2,3,2,99AA8,01232
9,9,A,A,9,0,1,0,1,2,99AA9,01012
9,9,A,A,9,0,1,0,2,2,99AA9,01022
9,9,A,A,9,0,1,0,2,3,99AA9,01023
9,9,A,A,9,0,1,2,3,2,99AA9,01232
9,9,A,A,T,0,1,0,1,0,99AAT,01010
9,9,A,A,T,0,1,0,1,2,99AAT,01012
9,9,A,A,T,0,1,0,2,0,99AAT,01020
9,9,A,A,T,0,1,0,2,1,99AAT,01021
9,9,A,A,T,0,1,0,2,2,99AAT,01022
9,9,A,A,T,0,1,0,2,3,99AAT,01023
9,9,A,A,T,0,1,2,3,0,99AAT,01230
9,9,A,A,T,0,1,2,3,2,99AAT,01232
9,9,A,A,J,0,1,0,1,0,99AAJ,01010
9,9,A,A,J,0,1,0,1,2,99AAJ,01012
9,9,A,A,J,0,1,0,2,0,99AAJ,01020
9,9,A,A,J,0,1,0,2,1,99AAJ,01021
9,9,A,A,J,0,1,0,2,2,99AAJ,01022
9,9,A,A,J,0,1,0,2,3,99AAJ,01023
9,9,A,A,J,0,1,2,3,0,99AAJ,01230
