h1_rank,h2_rank,f1_rank,f2_rank,f3_rank,h1_suit,h2_suit,f1_suit,f2_suit,f3_suit,rank_key,suit_key
2,2,3,2,2,0,1,0,2,3,22322,01023
2,2,3,2,2,0,1,2,2,3,22322,01223
2,2,3,3,2,0,1,0,1,2,22332,01012
2,2,3,3,2,0,1,0,2,2,22332,01022
2,2,3,3,2,0,1,0,2,3,22332,01023
2,2,3,3,2,0,1,2,3,2,22332,01232
2,2,3,3,3,0,1,0,1,2,22333,01012
2,2,3,3,3,0,1,0,2,3,22333,01023
2,2,4,2,2,0,1,0,2,3,22422,01023
2,2,4,2,2,0,1,2,2,3,22422,01223
2,2,4,3,2,0,1,0,0,2,22432,01002
2,2,4,3,2,0,1,0,1,2,22432,01012
2,2,4,3,2,0,1,0,2,2,22432,01022
2,2,4,3,2,0,1,0,2,3,22432,01023
2,2,4,3,2,0,1,2,0,2,22432,01202
2,2,4,3,2,0,1,2,0,3,22432,01203
2,2,4,3,2,0,1,2,2,2,22432,01222
2,2,4,3,2,0,1,2,2,3,22432,01223
2,2,4,3,2,0,1,2,3,2,22432,01232
2,2,4,3,2,0,1,2,3,3,22432,01233
2,2,4,3,3,0,1,0,0,1,22433,01001
2,2,4,3,3,0,1,0,0,2,22433,01002
2,2,4,3,3,0,1,0,1,2,22433,01012
2,2,4,3,3,0,1,0,2,3,22433,01023
2,2,4,3,3,0,1,2,0,1,22433,01201
2,2,4,3,3,0,1,2,0,2,22433,01202
2,2,4,3,3,0,1,2,0,3,22433,01203
2,2,4,3,3,0,1,2,2,3,22433,01223
2,2,4,4,2,0,1,0,1,2,22442,01012
2,2,4,4,2,0,1,0,2,2,22442,01022
2,2,4,4,2,0,1,0,2,3,22442,01023
2,2,4,4,2,0,1,2,3,2,22442,01232
2,2,4,4,3,0,1,0,1,0,22443,01010
2,2,4,4,3,0,1,0,1,2,22443,01012
2,2,4,4,3,0,1,0,2,0,22443,01020
2,2,4,4,3,0,1,0,2,1,22443,01021
2,2,4,4,3,0,1,0,2,2,22443,01022
2,2,4,4,3,0,1,0,2,3,22443,01023
2,2,4,4,3,0,1,2,3,0,22443,01230
2,2,4,4,3,0,1,2,3,2,22443,01232
2,2,4,4,4,0,1,0,1,2,22444,01012
2,2,4,4,4,0,1,0,2,3,22444,01023
2,2,5,2,2,0,1,0,2,3,22522,01023
2,2,5,2,2,0,1,2,2,3,22522,01223
2,2,5,3,2,0,1,0,0,2,22532,01002
2,2,5,3,2,0,1,0,1,2,22532,01012
2,2,5,3,2,0,1,0,2,2,22532,01022
2,2,5,3,2,0,1,0,2,3,22532,01023
2,2,5,3,2,0,1,2,0,2,22532,01202
2,2,5,3,2,0,1,2,0,3,22532,01203
2,2,5,3,2,0,1,2,2,2,22532,01222
2,2,5,3,2,0,1,2,2,3,22532,01223
2,2,5,3,2,0,1,2,3,2,22532,01232
2,2,5,3,2,0,1,2,3,3,22532,01233
2,2,5,3,3,0,1,0,0,1,22533,01001
2,2,5,3,3,0,1,0,0,2,22533,01002
2,2,5,3,3,0,1,0,1,2,22533,01012
2,2,5,3,3,0,1,0,2,3,22533,01023
2,2,5,3,3,0,1,2,0,1,22533,01201
2,2,5,3,3,0,1,2,0,2,22533,01202
2,2,5,3,3,0,1,2,0,3,22533,01203
2,2,5,3,3,0,1,2,2,3,22533,01223
2,2,5,4,2,0,1,0,0,2,22542,01002
2,2,5,4,2,0,1,0,1,2,22542,01012
2,2,5,4,2,0,1,0,2,2,22542,01022
2,2,5,4,2,0,1,0,2,3,22542,01023
2,2,5,4,2,0,1,2,0,2,22542,01202
2,2,5,4,2,0,1,2,0,3,22542,01203
2,2,5,4,2,0,1,2,2,2,22542,01222
2,2,5,4,2,0,1,2,2,3,22542,01223
2,2,5,4,2,0,1,2,3,2,22542,01232
2,2,5,4,2,0,1,2,3,3,22542,01233
2,2,5,4,3,0,1,0,0,0,22543,01000
2,2,5,4,3,0,1,0,0,1,22543,01001
2,2,5,4,3,0,1,0,0,2,22543,01002
2,2,5,4,3,0,1,0,1,0,22543,01010
2,2,5,4,3,0,1,0,1,1,22543,01011
2,2,5,4,3,0,1,0,1,2,22543,01012
2,2,5,4,3,0,1,0,2,0,22543,01020
2,2,5,4,3,0,1,0,2,1,22543,01021
2,2,5,4,3,0,1,0,2,2,22543,01022
2,2,5,4,3,0,1,0,2,3,22543,01023
2,2,5,4,3,0,1,2,0,0,22543,01200
2,2,5,4,3,0,1,2,0,1,22543,01201
2,2,5,4,3,0,1,2,0,2,22543,01202
2,2,5,4,3,0,1,2,0,3,22543,01203
2,2,5,4,3,0,1,2,2,0,22543,01220
2,2,5,4,3,0,1,2,2,2,22543,01222
2,2,5,4,3,0,1,2,2,3,22543,01223
2,2,5,4,3,0,1,2,3,0,22543,01230
2,2,5,4,3,0,1,2,3,2,22543,01232
2,2,5,4,3,0,1,2,3,3,22543,01233
2,2,5,4,4,0,1,0,0,1,22544,01001
2,2,5,4,4,0,1,0,0,2,22544,01002
2,2,5,4,4,0,1,0,1,2,22544,01012
2,2,5,4,4,0,1,0,2,3,22544,01023
2,2,5,4,4,0,1,2,0,1,22544,01201
2,2,5,4,4,0,1,2,0,2,22544,01202
2,2,5,4,4,0,1,2,0,3,22544,01203
2,2,5,4,4,0,1,2,2,3,22544,01223
2,2,5,5,2,0,1,0,1,2,22552,01012
2,2,5,5,2,0,1,0,2,2,22552,01022
2,2,5,5,2,0,1,0,2,3,22552,01023
2,2,5,5,2,0,1,2,3,2,22552,01232
2,2,5,5,3,0,1,0,1,0,22553,01010
2,2,5,5,3,0,1,0,1,2,22553,01012
2,2,5,5,3,0,1,0,2,0,22553,01020
2,2,5,5,3,0,1,0,2,1,22553,01021
2,2,5,5,3,0,1,0,2,2,22553,01022
2,2,5,5,3,0,1,0,2,3,22553,01023
2,2,5,5,3,0,1,2,3,0,22553,01230
2,2,5,5,3,0,1,2,3,2,22553,01232
2,2,5,5,4,0,1,0,1,0,22554,01010
2,2,5,5,4,0,1,0,1,2,22554,01012
2,2,5,5,4,0,1,0,2,0,22554,01020
2,2,5,5,4,0,1,0,2,1,22554,01021
2,2,5,5,4,0,1,0,2,2,22554,01022
2,2,5,5,4,0,1,0,2,3,22554,01023
2,2,5,5,4,0,1,2,3,0,22554,01230
2,2,5,5,4,0,1,2,3,2,22554,01232
2,2,5,5,5,0,1,0,1,2,22555,01012
2,2,5,5,5,0,1,0,2,3,22555,01023
2,2,6,2,2,0,1,0,2,3,22622,01023
2,2,6,2,2,0,1,2,2,3,22622,01223
2,2,6,3,2,0,1,0,0,2,22632,01002
2,2,6,3,2,0,1,0,1,2,22632,01012
2,2,6,3,2,0,1,0,2,2,22632,01022
2,2,6,3,2,0,1,0,2,3,22632,01023
2,2,6,3,2,0,1,2,0,2,22632,01202
2,2,6,3,2,0,1,2,0,3,22632,01203
2,2,6,3,2,0,1,2,2,2,22632,01222
2,2,6,3,2,0,1,2,2,3,22632,01223
2,2,6,3,2,0,1,2,3,2,22632,01232
2,2,6,3,2,0,1,2,3,3,22632,01233
2,2,6,3,3,0,1,0,0,1,22633,01001
2,2,6,3,3,0,1,0,0,2,22633,01002
2,2,6,3,3,0,1,0,1,2,22633,01012
2,2,6,3,3,0,1,0,2,3,22633,01023
2,2,6,3,3,0,1,2,0,1,22633,01201
2,2,6,3,3,0,1,2,0,2,22633,01202
2,2,6,3,3,0,1,2,0,3,22633,01203
2,2,6,3,3,0,1,2,2,3,22633,01223
2,2,6,4,2,0,1,0,0,2,22642,01002
2,2,6,4,2,0,1,0,1,2,22642,01012
2,2,6,4,2,0,1,0,2,2,22642,01022
2,2,6,4,2,0,1,0,2,3,22642,01023
2,2,6,4,2,0,1,2,0,2,22642,01202
2,2,6,4,2,0,1,2,0,3,22642,01203
2,2,6,4,2,0,1,2,2,2,22642,01222
2,2,6,4,2,0,1,2,2,3,22642,01223
2,2,6,4,2,0,1,2,3,2,22642,01232
2,2,6,4,2,0,1,2,3,3,22642,01233
2,2,6,4,3,0,1,0,0,0,22643,01000
2,2,6,4,3,0,1,0,0,1,22643,01001
2,2,6,4,3,0,1,0,0,2,22643,01002
2,2,6,4,3,0,1,0,1,0,22643,01010
2,2,6,4,3,0,1,0,1,1,22643,01011
2,2,6,4,3,0,1,0,1,2,22643,01012
2,2,6,4,3,0,1,0,2,0,22643,01020
2,2,6,4,3,0,1,0,2,1,22643,01021
2,2,6,4,3,0,1,0,2,2,22643,01022
2,2,6,4,3,0,1,0,2,3,22643,01023
2,2,6,4,3,0,1,2,0,0,22643,01200
2,2,6,4,3,0,1,2,0,1,22643,01201
2,2,6,4,3,0,1,2,0,2,22643,01202
2,2,6,4,3,0,1,2,0,3,22643,01203
