h1_rank,h2_rank,f1_rank,f2_rank,f3_rank,h1_suit,h2_suit,f1_suit,f2_suit,f3_suit,rank_key,suit_key
K,T,9,6,2,0,1,2,0,1,KT962,01201
K,T,9,6,2,0,1,2,0,2,KT962,01202
K,T,9,6,2,0,1,2,0,3,KT962,01203
K,T,9,6,2,0,1,2,1,0,KT962,01210
K,T,9,6,2,0,1,2,1,1,KT962,01211
K,T,9,6,2,0,1,2,1,2,KT962,01212
K,T,9,6,2,0,1,2,1,3,KT962,01213
K,T,9,6,2,0,1,2,2,0,KT962,01220
K,T,9,6,2,0,1,2,2,1,KT962,01221
K,T,9,6,2,0,1,2,2,2,KT962,01222
K,T,9,6,2,0,1,2,2,3,KT962,01223
K,T,9,6,2,0,1,2,3,0,KT962,01230
K,T,9,6,2,0,1,2,3,1,KT962,01231
K,T,9,6,2,0,1,2,3,2,KT962,01232
K,T,9,6,2,0,1,2,3,3,KT962,01233
K,T,9,6,3,0,0,0,0,0,KT963,00000
K,T,9,6,3,0,0,0,0,1,KT963,00001
K,T,9,6,3,0,0,0,1,0,KT963,00010
K,T,9,6,3,0,0,0,1,1,KT963,00011
K,T,9,6,3,0,0,0,1,2,KT963,00012
K,T,9,6,3,0,0,1,0,0,KT963,00100
K,T,9,6,3,0,0,1,0,1,KT963,00101
K,T,9,6,3,0,0,1,0,2,KT963,00102
K,T,9,6,3,0,0,1,1,0,KT963,00110
K,T,9,6,3,0,0,1,1,1,KT963,00111
K,T,9,6,3,0,0,1,1,2,KT963,00112
K,T,9,6,3,0,0,1,2,0,KT963,00120
K,T,9,6,3,0,0,1,2,1,KT963,00121
K,T,9,6,3,0,0,1,2,2,KT963,00122
K,T,9,6,3,0,0,1,2,3,KT963,00123
K,T,9,6,3,0,1,0,0,0,KT963,01000
K,T,9,6,3,0,1,0,0,1,KT963,01001
K,T,9,6,3,0,1,0,0,2,KT963,01002
K,T,9,6,3,0,1,0,1,0,KT963,01010
K,T,9,6,3,0,1,0,1,1,KT963,01011
K,T,9,6,3,0,1,0,1,2,KT963,01012
K,T,9,6,3,0,1,0,2,0,KT963,01020
K,T,9,6,3,0,1,0,2,1,KT963,01021
K,T,9,6,3,0,1,0,2,2,KT963,01022
K,T,9,6,3,0,1,0,2,3,KT963,01023
K,T,9,6,3,0,1,1,0,0,KT963,01100
K,T,9,6,3,0,1,1,0,1,KT963,01101
K,T,9,6,3,0,1,1,0,2,KT963,01102
K,T,9,6,3,0,1,1,1,0,KT963,01110
K,T,9,6,3,0,1,1,1,1,KT963,01111
K,T,9,6,3,0,1,1,1,2,KT963,01112
K,T,9,6,3,0,1,1,2,0,KT963,01120
