h1_rank,h2_rank,f1_rank,f2_rank,f3_rank,h1_suit,h2_suit,f1_suit,f2_suit,f3_suit,rank_key,suit_key
T,7,9,7,4,0,1,0,2,2,T7974,01022
T,7,9,7,4,0,1,0,2,3,T7974,01023
T,7,9,7,4,0,1,1,0,0,T7974,01100
T,7,9,7,4,0,1,1,0,1,T7974,01101
T,7,9,7,4,0,1,1,0,2,T7974,01102
T,7,9,7,4,0,1,1,2,0,T7974,01120
T,7,9,7,4,0,1,1,2,1,T7974,01121
T,7,9,7,4,0,1,1,2,2,T7974,01122
T,7,9,7,4,0,1,1,2,3,T7974,01123
T,7,9,7,4,0,1,2,0,0,T7974,01200
T,7,9,7,4,0,1,2,0,1,T7974,01201
T,7,9,7,4,0,1,2,0,2,T7974,01202
T,7,9,7,4,0,1,2,0,3,T7974,01203
T,7,9,7,4,0,1,2,2,0,T7974,01220
T,7,9,7,4,0,1,2,2,1,T7974,01221
T,7,9,7,4,0,1,2,2,2,T7974,01222
T,7,9,7,4,0,1,2,2,3,T7974,01223
T,7,9,7,4,0,1,2,3,0,T7974,01230
T,7,9,7,4,0,1,2,3,1,T7974,01231
T,7,9,7,4,0,1,2,3,2,T7974,01232
T,7,9,7,4,0,1,2,3,3,T7974,01233
T,7,9,7,5,0,0,0,1,0,T7975,00010
T,7,9,7,5,0,0,0,1,1,T7975,00011
T,7,9,7,5,0,0,0,1,2,T7975,00012
T,7,9,7,5,0,0,1,1,0,T7975,00110
T,7,9,7,5,0,0,1,1,1,T7975,00111
T,7,9,7,5,0,0,1,1,2,T7975,00112
T,7,9,7,5,0,0,1,2,0,T7975,00120
T,7,9,7,5,0,0,1,2,1,T7975,00121
T,7,9,7,5,0,0,1,2,2,T7975,00122
T,7,9,7,5,0,0,1,2,3,T7975,00123
T,7,9,7,5,0,1,0,0,0,T7975,01000
T,7,9,7,5,0,1,0,0,1,T7975,01001
T,7,9,7,5,0,1,0,0,2,T7975,01002
T,7,9,7,5,0,1,0,2,0,T7975,01020
T,7,9,7,5,0,1,0,2,1,T7975,01021
T,7,9,7,5,0,1,0,2,2,T7975,01022
T,7,9,7,5,0,1,0,2,3,T7975,01023
T,7,9,7,5,0,1,1,0,0,T7975,01100
T,7,9,7,5,0,1,1,0,1,T7975,01101
T,7,9,7,5,0,1,1,0,2,T7975,01102
T,7,9,7,5,0,1,1,2,0,T7975,01120
T,7,9,7,5,0,1,1,2,1,T7975,01121
T,7,9,7,5,0,1,1,2,2,T7975,01122
T,7,9,7,5,0,1,1,2,3,T7975,01123
T,7,9,7,5,0,1,2,0,0,T7975,01200
T,7,9,7,5,0,1,2,0,1,T7975,01201
T,7,9,7,5,0,1,2,0,2,T7975,01202
T,7,9,7,5,0,1,2,0,3,T7975,01203
T,7,9,7,5,0,1,2,2,0,T7975,01220
T,7,9,7,5,0,1,2,2,1,T7975,01221
T,7,9,7,5,0,1,2,2,2,T7975,01222
T,7,9,7,5,0,1,2,2,3,T7975,01223
T,7,9,7,5,0,1,2,3,0,T7975,01230
T,7,9,7,5,0,1,2,3,1,T7975,01231
T,7,9,7,5,0,1,2,3,2,T7975,01232
T,7,9,7,5,0,1,2,3,3,T7975,01233
T,7,9,7,6,0,0,0,1,0,T7976,00010
T,7,9,7,6,0,0,0,1,1,T7976,00011
T,7,9,7,6,0,0,0,1,2,T7976,00012
T,7,9,7,6,0,0,1,1,0,T7976,00110
T,7,9,7,6,0,0,1,1,1,T7976,00111
T,7,9,7,6,0,0,1,1,2,T7976,00112
T,7,9,7,6,0,0,1,2,0,T7976,00120
T,7,9,7,6,0,0,1,2,1,T7976,00121
T,7,9,7,6,0,0,1,2,2,T7976,00122
T,7,9,7,6,0,0,1,2,3,T7976,00123
T,7,9,7,6,0,1,0,0,0,T7976,01000
T,7,9,7,6,0,1,0,0,1,T7976,01001
T,7,9,7,6,0,1,0,0,2,T7976,01002
T,7,9,7,6,0,1,0,2,0,T7976,01020
T,7,9,7,6,0,1,0,2,1,T7976,01021
T,7,9,7,6,0,1,0,2,2,T7976,01022
T,7,9,7,6,0,1,0,2,3,T7976,01023
T,7,9,7,6,0,1,1,0,0,T7976,01100
T,7,9,7,6,0,1,1,0,1,T7976,01101
T,7,9,7,6,0,1,1,0,2,T7976,01102
T,7,9,7,6,0,1,1,2,0,T7976,01120
T,7,9,7,6,0,1,1,2,1,T7976,01121
T,7,9,7,6,0,1,1,2,2,T7976,01122
T,7,9,7,6,0,1,1,2,3,T7976,01123
T,7,9,7,6,0,1,2,0,0,T7976,01200
T,7,9,7,6,0,1,2,0,1,T7976,01201
T,7,9,7,6,0,1,2,0,2,T7976,01202
T,7,9,7,6,0,1,2,0,3,T7976,01203
T,7,9,7,6,0,1,2,2,0,T7976,01220
T,7,9,7,6,0,1,2,2,1,T7976,01221
T,7,9,7,6,0,1,2,2,2,T7976,01222
T,7,9,7,6,0,1,2,2,3,T7976,01223
T,7,9,7,6,0,1,2,3,0,T7976,01230
T,7,9,7,6,0,1,2,3,1,T7976,01231
T,7,9,7,6,0,1,2,3,2,T7976,01232
T,7,9,7,6,0,1,2,3,3,T7976,01233
T,7,9,7,7,0,0,0,1,2,T7977,00012
T,7,9,7,7,0,0,1,1,2,T7977,00112
T,7,9,7,7,0,0,1,2,3,T7977,00123
T,7,9,7,7,0,1,0,0,2,T7977,01002
T,7,9,7,7,0,1,0,2,3,T7977,01023
T,7,9,7,7,0,1,1,0,2,T7977,01102
T,7,9,7,7,0,1,1,2,3,T7977,01123
T,7,9,7,7,0,1,2,0,2,T7977,01202
T,7,9,7,7,0,1,2,0,3,T7977,01203
T,7,9,7,7,0,1,2,2,3,T7977,01223
T,7,9,8,2,0,0,0,0,0,T7982,00000
T,7,9,8,2,0,0,0,0,1,T7982,00001
T,7,9,8,2,0,0,0,1,0,T7982,00010
T,7,9,8,2,0,0,0,1,1,T7982,00011
T,7,9,8,2,0,0,0,1,2,T7982,00012
T,7,9,8,2,0,0,1,0,0,T7982,00100
T,7,9,8,2,0,0,1,0,1,T7982,00101
T,7,9,8,2,0,0,1,0,2,T7982,00102
T,7,9,8,2,0,0,1,1,0,T7982,00110
T,7,9,8,2,0,0,1,1,1,T7982,00111
T,7,9,8,2,0,0,1,1,2,T7982,00112
T,7,9,8,2,0,0,1,2,0,T7982,00120
T,7,9,8,2,0,0,1,2,1,T7982,00121
T,7,9,8,2,0,0,1,2,2,T7982,00122
T,7,9,8,2,0,0,1,2,3,T7982,00123
T,7,9,8,2,0,1,0,0,0,T7982,01000
T,7,9,8,2,0,1,0,0,1,T7982,01001
T,7,9,8,2,0,1,0,0,2,T7982,01002
T,7,9,8,2,0,1,0,1,0,T7982,01010
T,7,9,8,2,0,1,0,1,1,T7982,01011
T,7,9,8,2,0,1,0,1,2,T7982,01012
T,7,9,8,2,0,1,0,2,0,T7982,01020
T,7,9,8,2,0,1,0,2,1,T7982,01021
T,7,9,8,2,0,1,0,2,2,T7982,01022
T,7,9,8,2,0,1,0,2,3,T7982,01023
T,7,9,8,2,0,1,1,0,0,T7982,01100
T,7,9,8,2,0,1,1,0,1,T7982,01101
T,7,9,8,2,0,1,1,0,2,T7982,01102
T,7,9,8,2,0,1,1,1,0,T7982,01110
T,7,9,8,2,0,1,1,1,1,T7982,01111
T,7,9,8,2,0,1,1,1,2,T7982,01112
T,7,9,8,2,0,1,1,2,0,T7982,01120
T,7,9,8,2,0,1,1,2,1,T7982,01121
T,7,9,8,2,0,1,1,2,2,T7982,01122
T,7,9,8,2,0,1,1,2,3,T7982,01123
T,7,9,8,2,0,1,2,0,0,T7982,01200
T,7,9,8,2,0,1,2,0,1,T7982,01201
T,7,9,8,2,0,1,2,0,2,T7982,01202
T,7,9,8,2,0,1,2,0,3,T7982,01203
T,7,9,8,2,0,1,2,1,0,T7982,01210
T,7,9,8,2,0,1,2,1,1,T7982,01211
T,7,9,8,2,0,1,2,1,2,T7982,01212
T,7,9,8,2,0,1,2,1,3,T7982,01213
T,7,9,8,2,0,1,2,2,0,T7982,01220
T,7,9,8,2,0,1,2,2,1,T7982,01221
T,7,9,8,2,0,1,2,2,2,T7982,01222
T,7,9,8,2,0,1,2,2,3,T7982,01223
T,7,9,8,2,0,1,2,3,0,T7982,01230
T,7,9,8,2,0,1,2,3,1,T7982,01231
T,7,9,8,2,0,1,2,3,2,T7982,01232
T,7,9,8,2,0,1,2,3,3,T7982,01233
T,7,9,8,3,0,0,0,0,0,T7983,00000
T,7,9,8,3,0,0,0,0,1,T7983,00001
T,7,9,8,3,0,0,0,1,0,T7983,00010
T,7,9,8,3,0,0,0,1,1,T7983,00011
T,7,9,8,3,0,0,0,1,2,T7983,00012
T,7,9,8,3,0,0,1,0,0,T7983,00100
T,7,9,8,3,0,0,1,0,1,T7983,00101
T,7,9,8,3,0,0,1,0,2,T7983,00102
T,7,9,8,3,0,0,1,1,0,T7983,00110
T,7,9,8,3,0,0,1,1,1,T7983,00111
T,7,9,8,3,0,0,1,1,2,T7983,00112
T,7,9,8,3,0,0,1,2,0,T7983,00120
T,7,9,8,3,0,0,1,2,1,T7983,00121
T,7,9,8,3,0,0,1,2,2,T7983,00122
T,7,9,8,3,0,0,1,2,3,T7983,00123
T,7,9,8,3,0,1,0,0,0,T7983,01000
T,7,9,8,3,0,1,0,0,1,T7983,01001
T,7,9,8,3,0,1,0,0,2,T7983,01002
T,7,9,8,3,0,1,0,1,0,T7983,01010
T,7,9,8,3,0,1,0,1,1,T7983,01011
T,7,9,8,3,0,1,0,1,2,T7983,01012
T,7,9,8,3,0,1,0,2,0,T7983,01020
T,7,9,8,3,0,1,0,2,1,T7983,01021
T,7,9,8,3,0,1,0,2,2,T7983,01022
T,7,9,8,3,0,1,0,2,3,T7983,01023
T,7,9,8,3,0,1,1,0,0,T7983,01100
T,7,9,8,3,0,1,1,0,1,T7983,01101
T,7,9,8,3,0,1,1,0,2,T7983,01102
T,7,9,8,3,0,1,1,1,0,T7983,01110
