h1_rank,h2_rank,f1_rank,f2_rank,f3_rank,h1_suit,h2_suit,f1_suit,f2_suit,f3_suit,rank_key,suit_key
Q,T,9,6,2,0,1,0,1,2,QT962,01012
Q,T,9,6,2,0,1,0,2,0,QT962,01020
Q,T,9,6,2,0,1,0,2,1,QT962,01021
Q,T,9,6,2,0,1,0,2,2,QT962,01022
Q,T,9,6,2,0,1,0,2,3,QT962,01023
Q,T,9,6,2,0,1,1,0,0,QT962,01100
Q,T,9,6,2,0,1,1,0,1,QT962,01101
Q,T,9,6,2,0,1,1,0,2,QT962,01102
Q,T,9,6,2,0,1,1,1,0,QT962,01110
Q,T,9,6,2,0,1,1,1,1,QT962,01111
Q,T,9,6,2,0,1,1,1,2,QT962,01112
Q,T,9,6,2,0,1,1,2,0,QT962,01120
Q,T,9,6,2,0,1,1,2,1,QT962,01121
Q,T,9,6,2,0,1,1,2,2,QT962,01122
Q,T,9,6,2,0,1,1,2,3,QT962,01123
Q,T,9,6,2,0,1,2,0,0,QT962,01200
Q,T,9,6,2,0,1,2,0,1,QT962,01201
Q,T,9,6,2,0,1,2,0,2,QT962,01202
Q,T,9,6,2,0,1,2,0,3,QT962,01203
Q,T,9,6,2,0,1,2,1,0,QT962,01210
Q,T,9,6,2,0,1,2,1,1,QT962,01211
Q,T,9,6,2,0,1,2,1,2,QT962,01212
Q,T,9,6,2,0,1,2,1,3,QT962,01213
Q,T,9,6,2,0,1,2,2,0,QT962,01220
Q,T,9,6,2,0,1,2,2,1,QT962,01221
Q,T,9,6,2,0,1,2,2,2,QT962,01222
Q,T,9,6,2,0,1,2,2,3,QT962,01223
Q,T,9,6,2,0,1,2,3,0,QT962,01230
Q,T,9,6,2,0,1,2,3,1,QT962,01231
Q,T,9,6,2,0,1,2,3,2,QT962,01232
Q,T,9,6,2,0,1,2,3,3,QT962,01233
Q,T,9,6,3,0,0,0,0,0,QT963,00000
Q,T,9,6,3,0,0,0,0,1,QT963,00001
Q,T,9,6,3,0,0,0,1,0,QT963,00010
Q,T,9,6,3,0,0,0,1,1,QT963,00011
Q,T,9,6,3,0,0,0,1,2,QT963,00012
Q,T,9,6,3,0,0,1,0,0,QT963,00100
Q,T,9,6,3,0,0,1,0,1,QT963,00101
Q,T,9,6,3,0,0,1,0,2,QT963,00102
Q,T,9,6,3,0,0,1,1,0,QT963,00110
Q,T,9,6,3,0,0,1,1,1,QT963,00111
Q,T,9,6,3,0,0,1,1,2,QT963,00112
Q,T,9,6,3,0,0,1,2,0,QT963,00120
Q,T,9,6,3,0,0,1,2,1,QT963,00121
Q,T,9,6,3,0,0,1,2,2,QT963,00122
Q,T,9,6,3,0,0,1,2,3,QT963,00123
Q,T,9,6,3,0,1,0,0,0,QT963,01000
Q,T,9,6,3,0,1,0,0,1,QT963,01001
Q,T,9,6,3,0,1,0,0,2,QT963,01002
Q,T,9,6,3,0,1,0,1,0,QT963,01010
Q,T,9,6,3,0,1,0,1,1,QT963,01011
Q,T,9,6,3,0,1,0,1,2,QT963,01012
Q,T,9,6,3,0,1,0,2,0,QT963,01020
Q,T,9,6,3,0,1,0,2,1,QT963,01021
Q,T,9,6,3,0,1,0,2,2,QT963,01022
Q,T,9,6,3,0,1,0,2,3,QT963,01023
Q,T,9,6,3,0,1,1,0,0,QT963,01100
Q,T,9,6,3,0,1,1,0,1,QT963,01101
Q,T,9,6,3,0,1,1,0,2,QT963,01102
Q,T,9,6,3,0,1,1,1,0,QT963,01110
Q,T,9,6,3,0,1,1,1,1,QT963,01111
Q,T,9,6,3,0,1,1,1,2,QT963,01112
Q,T,9,6,3,0,1,1,2,0,QT963,01120
Q,T,9,6,3,0,1,1,2,1,QT963,01121
Q,T,9,6,3,0,1,1,2,2,QT963,01122
Q,T,9,6,3,0,1,1,2,3,QT963,01123
Q,T,9,6,3,0,1,2,0,0,QT963,01200
Q,T,9,6,3,0,1,2,0,1,QT963,01201
Q,T,9,6,3,0,1,2,0,2,QT963,01202
Q,T,9,6,3,0,1,2,0,3,QT963,01203
Q,T,9,6,3,0,1,2,1,0,QT963,01210
Q,T,9,6,3,0,1,2,1,1,QT963,01211
Q,T,9,6,3,0,1,2,1,2,QT963,01212
Q,T,9,6,3,0,1,2,1,3,QT963,01213
Q,T,9,6,3,0,1,2,2,0,QT963,01220
Q,T,9,6,3,0,1,2,2,1,QT963,01221
Q,T,9,6,3,0,1,2,2,2,QT963,01222
Q,T,9,6,3,0,1,2,2,3,QT963,01223
Q,T,9,6,3,0,1,2,3,0,QT963,01230
Q,T,9,6,3,0,1,2,3,1,QT963,01231
Q,T,9,6,3,0,1,2,3,2,QT963,01232
Q,T,9,6,3,0,1,2,3,3,QT963,01233
